№ заказа,Дата поступления заказа,Название товара в Kaspi Магазине,Название в системе продавца,Артикул,Сумма,Категория,Адрес самовывоза/доставки,Дата изменения статуса,Статус,Причина отмены,Способ оплаты,Способ доставки,Курьерская служба,Принял,Выдал,Отменил,Оценка покупателя,Отзыв покупателя,Дата публикации отзыва,Оформил,Количество,Стоимость доставки для покупателя,Стоимость доставки для продавца,Компенсация за доставку,Требуется подписание,Плановая дата передачи курьеру,Фактическая дата комплектации,Склад передачи КД
980841101,30.06.2026,Пароварка-вкладыш 30448847_MR3-025 1 шт,пароварка-вкладыш,159816248_657482932,900,Аксессуары для готовки,г. Петропавловск,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980360885,29.06.2026,"Вешалка 257698688 черный, серебристый 1 шт",Вешалка на подголовник,119805761_593072707,2682,Вешалки-плечики для одежды,г. Сарыагаш,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980225220,29.06.2026,Микротоковый массажер,Массажер для глаз,136259725_288292929,1574,Малая косметологическая техника,г. Шымкент,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980167044,29.06.2026,"Сетка Сетка для пиццы, алюминий",сетка для пиццы,140107020_56745235578,1776,Посуда и формы для выпечки и запекания,г. Шу,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980524260,29.06.2026,Зажим 549395388 6 шт,клипса для простыней LOVE розовый 6 шт,144170610_676577483,675,Крепеж для постельного белья,г. Усть-Каменогорск,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980397930,29.06.2026,"Дождевик YH140312 48, 52",Дождевик серый,135932817_272882939,791,Одежда и обувь для рыбалки,г. Экибастуз,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980921803,30.06.2026,ультрафиолетовый 3в1,уф фонарик,116264896_65374374342,1750,Туристические фонари,г. Астана,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,500.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980316822,29.06.2026,WORK LIGHT S608 черный,фонарь ремонтный,108532136_8745128456,3339,Туристические фонари,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,231.0,,Не требуется,30.06.2026,,30397554_PP2
980444956,29.06.2026,Клипса Силиконовый держатель для удочки многоцветный,клипса для удочки,119844420_23123312,800,Аксессуары для рыбалки,г. Астана,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,2,500.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980181168,29.06.2026,Съемник для укорачивания браслетов,съемник для укорачивания браслетов,130909634_569394057,583,Ювелирное оборудование и расходные материалы,г. Астана,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка,Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980553395,29.06.2026,"Сушилка Salad Spinner ручная центрифуга, пластик",сушилка для овощей,141973286_123213312,2199,Механические сушилки и мойки для овощей и фруктов,г. Астана,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980374899,29.06.2026,"Сетка Сетка для пиццы, алюминий",сетка для пиццы,140107020_56745235578,7104,Посуда и формы для выпечки и запекания,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,4,0.0,927.0,,Не требуется,30.06.2026,,30397554_PP2
980469935,29.06.2026,"Форма 0103-01, алюминий",алюминиевые формочки для кексиков 20 штук,116139529_6574839532,2197,Посуда и формы для выпечки и запекания,г. Талдыкорган,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980323527,29.06.2026,"Подушка Ортопедическая подушка из латекса для новорожденных латекс, хлопок, 26x28 см",подушка для новорожденных бежевая с ушками,120002781_845184651,2300,Подушки,г. Аксу-Аюлы,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980086253,29.06.2026,Форма для чебуреков 30372798_471591795 2 шт,форма для чебуреков,152717796_78489578420,7200,Аксессуары для готовки,г. Караганда,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,3,0.0,927.0,,Не требуется,30.06.2026,,30397554_PP2
980836733,30.06.2026,"Цепь для сумок с карабинами 120 см 1 шт, кольцо карабин 25 мм 2 шт металл серебристый",цепь для сумок с карабинами,105967272_5316516578,1084,Ручки и ремни для сумок,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980027981,29.06.2026,Картхолдер экокожа чёрный,картхолдер,121263817_3865833253,499,Кошельки и визитницы,г. Панфилово,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
